Profile Profile,Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Second Country Second Country,Height Height,Weight Weight,Birthplace Birthplace,Other Group Other Group,Former Group Former Group,Gender Gender,Position Position,Instagram Instagram,Twitter Twitter
,Hyerin,Kim Hyerin,???,??,34133,2EYES,South Korea,,170,0,Seoul,,,F,,hyelyn0723,
,IU,Lee Jieun,???,???,34105,,South Korea,,162,0,Seoul,,,F,,dlwlrma,
,Jei,Kim Jinhee,???,??,32756,Fiestar,South Korea,,162,0,Bucheon,,,F,,kimjeii,
,Cao Lu,Cao Lu,???,???,32019,Fiestar,China,,166,0,Zhangjiajie,,,F,,better_me_lulu,
,Linzy,Im Minji,???,??,32803,Fiestar,South Korea,,168,0,Incheon,,,F,,linzy_minji,
,Hyemi,Kim Hyemi,???,??,33095,Fiestar,South Korea,,161,0,Seoul,,,F,,hyemi_haaaaam,
,Yezi,Lee Yeji,???,??,34572,Fiestar,South Korea,,161,0,Gangneung,,,F,,-,fiestar__yezi
Profile,Hana,Shin Bora,???,??,34089,Gugudan,South Korea,,0,0,,,,F,,,
Profile,Mimi,Jung Mimi,???,??,33970,Gugudan,South Korea,,163,0,,,,F,,,
Profile,Haebin,Han Haebin,???,??,34927,Gugudan,South Korea,,0,0,,,,F,,,
Profile,Nayoung,Kim Nayoung,???,??,35026,Gugudan,South Korea,,169,50,,,,F,,,
Profile,Sejeong,Kim Sejeong,???,??,35305,Gugudan,South Korea,,164,48,,,I.O.I,F,,,
Profile,Sally,Liu Xiening,???,??,35361,Gugudan,China,,0,0,Guangdong,,,F,,,
Profile,Soyee,Jang Sojin,???,??,35390,Gugudan,South Korea,,0,0,,,,F,,,
Profile,Mina,Kang Mina,???,??,36498,Gugudan,South Korea,,162,48,Icheon,Gugudan Oguogu,I.O.I,F,,,
Profile,Hyeyeon,Cho Hyeyeon,???,??,36743,,South Korea,,0,0,,Gugudan Oguogu,Gugudan,F,,,
Profile,Hyojung,Choi Hyojung,???,??,34543,Oh My Girl,South Korea,,160,46,Yangyang,,,F,,,
Profile,JinE,Shin Hyejin,???,??,34721,,South Korea,,160,48,Pohang,,Oh My Girl,F,,,
Profile,Mimi,Kim Mihyun,???,??,34820,Oh My Girl,South Korea,,163,50,Jeju,,,F,,,
Profile,Yooa,Yoo Siah,???,??,34959,Oh My Girl,South Korea,,160,50,Seoul,,,F,,,
Profile,Seunghee,Hyun Seunghee,???,??,35089,Oh My Girl,South Korea,,160,48,Chuncheon,,,F,,,
Profile,Jiho,Kim Jiho,???,??,35524,Oh My Girl,South Korea,,165,49,Okcheon,,,F,,,
